content,post,postid,postlink,has_tags,thumbsup,comment,retweet,nicknameid,postidname,regis_time,following,follower
"Watch Jonathan Wauton, CEO  Co-founder of Tiller Technologies, speak at our recent 9x5 fintech event, about how he created Tiller to tackle the toughest challenges facing wealth management.

Learn more: https://t.co/73umDQnhpt
#Fintech #Tech #WealthManagement https://t.co/trh8G8QbuF",2023/12/8 10:30,1.73307E+18,https://twitter.com/markminervini/status/1733071607411724528,"Fintech
Tech
WealthManagement",0,0,0,Jersey Finance,jerseyfinance,Wed Mar 18 16:42:51 +0000 2009,6980,258
"Meet one of our Financial Advisers, Timea Toth.

""I have been with AJ for over 18 years, and I gained valuable knowledge  experience in financial planning having worked in various areas within the business, as it grew...

#meettheteam #team #ourteam https://t.co/TSebj2KtmD",2023/12/8 10:29,1.73307E+18,https://twitter.com/markminervini/status/1733071294596370596,"meettheteam
team
ourteam",0,1,0,A&J Wealth Management,ajwealthmgmt,Tue Aug 09 10:47:41 +0000 2016,466,527
"Protect your money now! Two US banks collapsed, billions trapped. Invest in gold, a retirement hedge outside of the government's control.",2023/3/13 19:41,1.63537E+18,https://twitter.com/markminervini/status/1635365360755961866,,755,163,162,Noble Gold Investments,NobleGoldIRA,Thu Jun 14 17:23:53 +0000 2018,943,93
Trends observed by Global Wealth Management industry https://t.co/PgX6MzjqLX,2023/12/8 10:25,1.73307E+18,https://twitter.com/markminervini/status/1733070339700056420,,6,0,1,Sandeep Kulkarni,moneyworks4u_fa,Sun Nov 23 18:17:15 +0000 2014,20092,75
"At the 9th annual Wealth Management Industry Awards, @Advisor360 was recognized as a Finalist in the category of Technology Providers, Thought Leadership for their Connected Wealth Report.

Learn more: https://t.co/pkIHUiIVrY
Sponsored by @Advisor360
#Wealthies https://t.co/Vxf0s2Z2JF",2023/12/8 10:25,1.73307E+18,https://twitter.com/markminervini/status/1733070162340040776,Wealthies,0,0,0,WealthManagement.com,wealth_mgmt,Mon Nov 16 22:36:36 +0000 2009,58030,2716
"Embarking on real estate investments requires meticulous research and a comprehensive understanding of the involved parties.
For more details contact Jumbo Wealth today! @9327627000
#jumbowealth #jumbo #Investment #Investing #Finance #WealthManagement #FinancialFreedom https://t.co/JwwoYh7VSI",2023/12/8 10:22,1.73307E+18,https://twitter.com/markminervini/status/1733069604065263747,"jumbowealth
jumbo
Investment
Investing
Finance
WealthManagement
FinancialFreedom",0,0,0,Jumbo Wealth,JumboWealth,Sat Jun 17 07:51:05 +0000 2023,0,1
"__Women__ Appointments 09/12/23__
Legacy Wealth Management Premier League
@BallymoneyHC v @banbridgehc - Julie Fisher  Simon Neale
Joey Dunlop LC @14:30
@BelfastQuinsLHC v @ards_lhc - Lyn Morrow  George Redpath
Deramore Park @12:45",2023/12/8 10:11,1.73307E+18,https://twitter.com/markminervini/status/1733066805994750260,,1,1,0,Ulster Umpires _____ȕ_____,Ulster_Umpires,Tue Dec 02 21:14:53 +0000 2014,940,233
"Ruth had visited Walter__ Diner since it opened. But a new manager took over, and he destroyed everything Ruth held dear. He kicked her out over a small mistake she didn__ even realize she had made, and he would end up regretting it. With her dying breath, Ruth took her revenge.",2023/12/7 17:25,1.73281E+18,https://twitter.com/markminervini/status/1732813497568727468,,6,0,0,Top5.com,topfive,Sun Apr 22 21:24:56 +0000 2007,2891,196
"Selecting the right #familyoffice technology can be a confusing and time-consuming task. But the outcome is worth the effort. In this guide, we look at 6 important steps to follow in the selection process. https://t.co/Y7Z0JnJ6Vq #wealthmanagement",2023/12/8 10:04,1.73306E+18,https://twitter.com/markminervini/status/1733064877382471700,"familyoffice
wealthmanagement",1,0,0,Simple,andsimpleco,Wed Jun 24 14:13:56 +0000 2015,464,1491
The elites feast on the USA! Raytheon's CEO gets a fat paycheck while the Pentagon loses track of 63% of $4 trillion. Invest in Raytheon to cash in! ____ #WealthManagement #defense #industry  #Mystery,2023/12/8 10:22,1.73307E+18,https://twitter.com/markminervini/status/1733069452772577318,"WealthManagement
defense
industry
Mystery",0,0,0,Double Standards Incorporated,XScriptxEdX,Thu Apr 13 15:45:42 +0000 2023,11,61
"Grant Pan, Noah Hong Kong CEO, told the 13th annual APB Summit : __he wealth management industry in China is evolving into modern-day wealth management instead of this sales-driven [model]. It is trying to manage the asset or wealth in different life stages of the clients._#Noah https://t.co/rKMlnRYnq5",2023/12/8 10:13,1.73307E+18,https://twitter.com/markminervini/status/1733067150573838624,Noah,0,0,0,Noah Holdings,noahholdings,Fri Jul 07 11:28:07 +0000 2023,8,6
Advisor Andrea Freiman joins UBS Private Wealth Management in Miami https://t.co/K4JI6dUeQJ #wealthmanagement #Financial  #financialservices @UBS,2023/12/8 10:02,1.73306E+18,https://twitter.com/markminervini/status/1733064578999943612,"wealthmanagement
Financial
financialservices",0,0,0,Impact Newswire,ImpactNewswire,Wed Apr 07 08:23:20 +0000 2021,985,4035
The founder of @Ring shares his thoughts on failure and how it can be the very thing business owners need to achieve more. @CapitalOneBiz #ad. Produced by Inc.  Capital One Business,2023/3/17 14:06,1.63673E+18,https://twitter.com/markminervini/status/1636730748303548417,ad,175,11,23,Inc.,Inc,Tue Oct 21 23:47:30 +0000 2008,2770441,1675
"Wealth Management Accountant role with Schroders in Horsham, West Sussex.

Info/Apply: https://t.co/V0NL4oi00g

#WestSussexJobs #HorshamJobs #FinanceJobs

@Schroders https://t.co/IDmGVquFwz",2023/12/8 10:00,1.73306E+18,https://twitter.com/markminervini/status/1733063941683556833,"WestSussexJobs
HorshamJobs
FinanceJobs",0,0,0,JCP in Sussex,JCPinSussex,Tue Jan 31 09:24:52 +0000 2012,4000,262
How Controlling Your Living Expenses Can Lead to Financial Freedom  https://t.co/CzQZozPqRY Written by Mario Hernandez of Longevity Wealth Management,2023/12/8 10:00,1.73306E+18,https://twitter.com/markminervini/status/1733063872393744737,,0,0,0,KiplingerAC,KiplingerAC,Thu Feb 23 17:45:03 +0000 2023,21,33
"____ Elevate your #WealthManagement with our holistic ESG integration.
Uncover our acclaimed #ESG solutions listed on @FintechGlobal's #ESGFinTech100: https://t.co/cgyPgCdVND
#SustainableFinance",2023/12/8 10:00,1.73306E+18,https://twitter.com/markminervini/status/1733063872070774969,"WealthManagement
ESG
ESGFinTech100
SustainableFinance",0,0,0,swissQuant,swissQuantAG,Tue Jul 27 10:19:39 +0000 2021,26,50
"Citi On Neuvama Wealth Management 

We initiate Nuvama at Buy with Rs4,110 TP (ETR:~34%); 22x Sep_25E EPS  for 18% EPS CAGR over FY2024E-26E (+60% YoY in FY2024E). 

Nuvama__  multi-product/open-architecture based distribution model in wealth, multicustomer focus (established_ https://t.co/SmNNkLblbJ",2023/12/8 09:49,1.73306E+18,https://twitter.com/markminervini/status/1733061267575681525,,0,0,1,Exencial Research Partners,exencial_RP,Wed Oct 18 06:02:06 +0000 2023,325,0
